epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,583.495,1.04171,0.86683,0.98477,0.74418,0.65714,0.74498,0.40415,1.7999,1.46161,1.25587,0.0002972,0.0002972,0.0002972
88,589.917,1.00426,0.82249,0.94363,0.75414,0.69289,0.75386,0.39305,1.81211,1.4219,1.2705,0.0002774,0.0002774,0.0002774
89,596.292,0.97496,0.81498,0.93714,0.75414,0.69289,0.75386,0.39305,1.81211,1.4219,1.2705,0.0002576,0.0002576,0.0002576
90,602.669,1.05262,0.80293,0.97674,0.75414,0.69289,0.75386,0.39305,1.81211,1.4219,1.2705,0.0002378,0.0002378,0.0002378
91,609.143,0.95631,0.80561,0.95075,0.80763,0.64516,0.75764,0.3919,1.79692,1.4075,1.26935,0.000218,0.000218,0.000218
92,616.089,0.93985,0.78318,0.94415,0.80763,0.64516,0.75764,0.3919,1.79692,1.4075,1.26935,0.0001982,0.0001982,0.0001982
93,622.748,0.93042,0.81805,0.92987,0.80763,0.64516,0.75764,0.3919,1.79692,1.4075,1.26935,0.0001784,0.0001784,0.0001784
94,629.018,0.94397,0.7901,0.94388,0.74932,0.70968,0.74958,0.3884,1.80298,1.40049,1.276,0.0001586,0.0001586,0.0001586
95,635.194,1.04791,0.8239,0.95741,0.74932,0.70968,0.74958,0.3884,1.80298,1.40049,1.276,0.0001388,0.0001388,0.0001388
96,641.36,0.96641,0.8019,0.95005,0.74932,0.70968,0.74958,0.3884,1.80298,1.40049,1.276,0.000119,0.000119,0.000119
97,647.559,0.89074,0.80712,0.91773,0.74932,0.70968,0.74958,0.3884,1.80298,1.40049,1.276,9.92e-05,9.92e-05,9.92e-05
98,654.002,0.96719,0.8016,0.91383,0.78,0.67742,0.76804,0.3969,1.79656,1.39197,1.27133,7.94e-05,7.94e-05,7.94e-05
99,660.2,0.89471,0.77916,0.93574,0.78,0.67742,0.76804,0.3969,1.79656,1.39197,1.27133,5.96e-05,5.96e-05,5.96e-05
100,666.389,0.94091,0.78167,0.92324,0.78,0.67742,0.76804,0.3969,1.79656,1.39197,1.27133,3.98e-05,3.98e-05,3.98e-05
